ID;MODEL;COIL TYPE;TUBES;ROWS;CIRCUITS;P.A.;FIN THICK;LENGTH;TUB THICK;FIN MAT;CONN DIA;TYPE;TWIN_DES;TWOUT_DES;TAIN_DES;RH_DES;QA_DES;QW_DES;POW_WATER;POW_MEG_5;POW_MEG_10;POW_MEG_15;POW_MEG_20;POW_MEG_25;POW_MEG_30;POW_MEG_35;POW_MEG_40;POW_MEG_45;POW_MEG_50;POW_MPG_5;POW_MPG_10;POW_MPG_15;POW_MPG_20;POW_MPG_25;POW_MPG_30;POW_MPG_35;POW_MPG_40;POW_MPG_45;POW_MPG_50;UA_WATER;UA_MEG_5;UA_MEG_10;UA_MEG_15;UA_MEG_20;UA_MEG_25;UA_MEG_30;UA_MEG_35;UA_MEG_40;UA_MEG_45;UA_MEG_50;UA_MPG_5;UA_MPG_10;UA_MPG_15;UA_MPG_20;UA_MPG_25;UA_MPG_30;UA_MPG_35;UA_MPG_40;UA_MPG_45;UA_MPG_50;QW_DP_DES;DP_DES;KV_W;QW_MIN;QW_MAX;SURFACE;COMM_FACTOR;ACCORDING DESIGN CODE;TUBE EXTERNAL DIAMETER OD;TUBE THICKNESS;FINS PITCH;FIN THICKNESS;CONNECTIONS SIDE;CONNECTIONS SIZE;CONNECTIONS TYPE;TUBE & HEADER MATERIAL;FINS MATERIAL;FRAME MATERIAL;COATING MATERIAL
43;P40AC-4R-56T-7420A-2,3PA-112C;94;56;4;112;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;40;35;30;0.5;149587;47.30668992;272528;270462;268244;265576;262294;259492;254898;250648;246166;236304;220966;269828;268226;264878;260776;257754;252774;246712;238006;234310;229666;66988.29914;66172.75563;65252.28347;64142.7157;62788.60204;61818.08815;59969.54162;58419.94849;56836.17486;52541.32388;46118.62771;65689.21287;65019.75661;63383.95149;61430.13835;60182.37596;58023.77997;55483.91525;51882.75922;50784.55736;49290.97414;126;59.34;16.35674089;19.90299578;200.3283452;1781.352571;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;2xDN80;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
44;P40AC-4R-56T-7420A-2,3PA-075C;94;56;4;75;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;42.5;35;30;0.5;149587;37.26607581;321714;318836;317900;314438;311430;306250;301858;298008;292070;285564;277228;319534;316608;312736;310576;305564;301970;297278;291132;285358;275604;69747.35255;68558.57925;68474.75315;67015.93023;65944.19139;63807.96151;62251.19565;61094.48852;58943.49484;56617.56173;53539.43389;68819.26854;67447.94661;65612.33735;64818.40473;62612.69442;61305.38475;59576.33427;57282.96531;55327.00577;51717.12866;68;59.06;8.84834793;13.32789896;108.3696875;1781.352571;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
45;P40AC-4R-56T-7420A-2,3PA-056C;94;56;4;56;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;149587;32.04752786;368516;367228;363588;360294;356120;351724;347088;342536;336322;329516;323274;366338;363456;360760;357048;351966;347154;342192;337272;332406;326768;71227.84613;71138.88612;69662.99903;68510.52736;67033.66983;65615.88799;64234.40983;63035.37031;61083.55072;58945.05604;57193.06908;70417.03903;69184.92637;68128.0195;66640.34384;64599.96624;62899.51397;61309.58102;59912.77007;58696.35378;57247.56739;52;59.36;6.749263711;9.951497888;82.66126116;1781.352571;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
46;P40AC-4R-56T-7420A-2,3PA-037C;94;56;4;37;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;149587;32.99447694;379400;378170;374534;372308;368234;364650;359884;356198;351378;344540;339226;377880;374374;372570;368772;365536;362472;358004;354122;348688;343356;75162.93245;75121.37583;73588.8403;73028.94892;71545.49798;70540.39083;69029.42533;68288.98797;67021.84473;64729.41903;63390.92372;74719.02429;73059.21508;72479.57943;70869.82865;69755.96427;68921.21739;67496.55423;66585.69103;65007.83446;63653.51321;28;60.67;3.594769381;6.575096819;44.02675363;1781.352571;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;2xDN80;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
47;P40AC-5R-56T-7420A-2,3PA-280C;94;56;5;280;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;38.5;35;30;0.5;149587;64.46146385;260096;257298;254858;252492;247624;240604;226128;203062;163546;119580;108588;257796;253354;250484;241606;215798;175858;136556;114258;111554;107790;72848.30542;71306.4012;70011.31949;68833.35435;66190.22932;62469.96599;55130.5486;45011.75995;31284.61151;19831.19077;17473.67275;71550.56423;68874.19259;67289.34948;62264.20059;49542.90102;34596.21989;23584.50868;18475.67703;17951.46869;17212.8266;166;59.74;21.47709207;49.75748944;263.0395836;2226.690713;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;2xDN80;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
48;P40AC-5R-56T-7420A-2,3PA-140C;94;56;5;140;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;40;35;30;0.5;149587;53.32415625;307192;305386;303274;300358;296416;293344;287458;282684;275428;261516;235842;305550;301362;298390;295402;290876;285152;274238;260400;255768;239868;83306.52205;82512.64617;81471.44893;79946.83982;77851.93726;76526.15849;73477.42307;71343.23656;67828.91174;60861.97082;49347.35712;82485.00405;79808.14969;78091.8783;76476.21628;73991.28526;70959.10132;65182.10636;58518.06367;56892.60788;50278.38935;142;60.39;18.27283066;24.87874472;223.7955564;2226.690713;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;2xDN80;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
49;P40AC-5R-56T-7420A-2,3PA-094C;94;56;5;94;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;42.5;35;30;0.5;149587;42.33725777;365490;361910;360706;357034;353892;348344;344080;339276;331740;322954;311654;361994;359128;354868;353288;347502;343392;336304;329304;320932;308300;89648.16788;87673.87739;87424.82285;85495.29913;84127.23123;81283.48352;79525.9857;77571.12761;74025.44655;69957.74221;64781.54811;87538.0459;85891.55739;83356.35012;82804.54787;79584.49869;77696.88377;74171.7137;70990.0441;67300.63248;61725.28723;84;60.57;10.79320682;16.70430003;132.189247;2226.690713;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
50;P40AC-5R-56T-7420A-2,3PA-070C;94;56;5;70;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;149587;36.52234543;419968;418126;414366;409724;406184;401496;395722;389722;383864;376576;366278;417108;413850;409516;406358;402076;396632;392042;385780;378750;367930;91894.0527;91460.86746;89581.78904;87265.69217;85965.67539;84119.34745;81786.47924;79526.21948;77531.13943;74790.4373;70459.96426;90422.31465;88647.17226;86243.7915;84836.68458;82899.36695;80471.47917;78846.94547;76436.93403;73821.82423;69326.99744;66;62.16;8.371213776;12.43937236;102.5260114;2226.690713;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
51;P40AC-5R-56T-7420A-2,3PA-046C;94;56;5;46;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;149587;37.56592779;431968;430082;426098;424618;420346;414948;411086;405454;400936;393538;386552;429040;426936;423120;420250;416574;411406;407348;402880;397900;391864;97586.16521;97111.23217;94957.76159;94916.89321;92979.08533;90491.58173;89405.64631;87250.05617;86081.43093;83025.13285;80443.81105;95979.62551;94977.29098;92785.70193;91495.11475;89854.09694;87432.95262;86073.2431;84696.7356;83225.08163;81278.17498;35;61.23;4.472866279;8.174444693;54.78120035;2226.690713;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
52;P40AC-5R-56T-7420A-2,3PA-035C;94;56;5;35;2.3;0.15;7420;0.4;9;209;cross-flow both unmixed;47.5;35;30;0.5;149587;33.91193902;486926;485720;481984;478130;474910;469596;464010;457660;451118;443708;437150;483594;480870;479612;474428;471218;466104;460392;456624;450874;444674;100221.1684;100533.3183;98792.41892;97203.55302;96420.26459;94381.20638;92472.70752;90284.3033;88187.99106;85664.73906;83921.27669;98440.22412;97103.58629;97007.6139;94212.29111;93191.60718;91136.20244;89023.03351;88603.13844;87120.5715;85621.87022;23;62.25;2.915131552;6.21968618;35.70292418;2226.690713;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
